"tool_id","purpose","read_write","Revit category","inputs","outputs","side_effects","validation","status","source_file"
"store_room_data","Store custom key-value data on room elements.","WRITE","Rooms","project_name:string; rooms:array","rawToolResponse/rawToolError with storage result","Writes project/extensible or local data","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/store_room_data.ts"
"sync_csv_parameters","Sync element parameters with a CSV file (import/export/roundtrip).","WRITE","Dynamic category/categories","data:object; dryRun?:schema=true","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks; dryRun preview available","KEEP + route through policy/audit wrapper","server/src/tools/sync_csv_parameters.ts"
"sync_revit_types_to_nbs","On-demand NBS-to-Revit parameter sync. Link mode (Type Only / Instance Only / Type and Instance) and the set of NBS fields to write default to what the user saved for this model in Revit Settings > NBS Nordic, falling back to the Link Type the official NBS addin stored in the model; pass them explicitly to override for one call. Type and instance links are independent; never overwrite an instance link from its type. Uses the NBS project saved in the active model. Can write NBS component IDs, full classification, name, date and published document links. NOT the official NBS addin's two-way Sync Now: does not upload models/quantities, create components or change native addin settings. NBS data model (verified 2026-09-09): a building component's serial (.001, .002 ...) identifies the component, not an element; NBS links components per Revit type (category) and its instances carry only quantities, so there is no per-element numbering to allocate. Defaults to preview; writes are model-guarded, verified and atomic.","WRITE","Dynamic BuiltInCategory; type + instance","category:string; linkMode?:enum; fields?:array; projectId?:union; maxTypes:number=500; dryRun:boolean=true; explicitMapping?:record; explicitInstanceMapping?:record; inheritTypeForUnlinkedInstances:boolean=false","rawToolResponse/rawToolError with NBS/Revit JSON summary","Mutates validated NBS parameters in Revit","Zod; project/model guards; explicit linkMode resolution; mapping confidence; allow-listed parameters; optimistic concurrency; atomic transaction; read-back verification","KEEP + EXTEND audit logging","server/src/tools/sync_revit_types_to_nbs.ts"
"tag_all_rooms","Tag rooms in the current view with room tags.","WRITE","Rooms","useLeader?:schema=false; tagTypeId?:schema; roomIds?:number","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/tag_all_rooms.ts"
"tag_all_walls","Tag walls in the current view with wall tags.","WRITE","Walls","useLeader?:schema=false; tagTypeId?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/tag_all_walls.ts"
"transfer_parameters","Copy parameter values between elements of different categories.","WRITE","Dynamic category/categories","sourceElementId:number; targetElementIds:array; parameterNames?:array; includeType?:boolean; dryRun?:boolean=true","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks; dryRun preview available","KEEP + route through policy/audit wrapper","server/src/tools/transfer_parameters.ts"
"wipe_empty_tags","Find and remove tags that have empty text or reference deleted/invalid elements. DESTRUCTIVE: defaults to dryRun=true (preview only). Set dryRun=false to actually delete empty tags.","WRITE","Dynamic category/categories","dryRun?:schema; viewId?:schema; categories?:string","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks; dryRun preview available","KEEP + route through policy/audit wrapper","server/src/tools/wipe_empty_tags.ts"
"workflow_clash_review","Detect clashes between two categories and visualize results.","WRITE","Views","categoryA:string; categoryB:string; tolerance?:number=0; createSectionBox?:boolean=true","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/workflow_clash_review.ts"
"workflow_data_roundtrip","Export parameters to CSV, edit externally, and re-import.","READ","Dynamic category/categories","categories?:array; parameterNames?:array; includeTypeParameters?:boolean=false; filePath?:string","tool/rawTool response wrapping Revit command result or structured error","No Revit mutation; may write an export file","Zod input schema; command/plugin checks","KEEP","server/src/tools/workflow_data_roundtrip.ts"
"workflow_model_audit","Run a comprehensive model health audit with scoring.","WRITE","Generic / input-selected","includeWarnings?:boolean=true; includeFamilies?:boolean=true; maxWarnings?:number=50","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/workflow_model_audit.ts"
"workflow_room_documentation","Auto-generate room documentation: plans, sections, schedules.","WRITE","Rooms","levelName?:string; createSections?:boolean=true; offset?:number=300","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/workflow_room_documentation.ts"
"workflow_sheet_set","Auto-create sheets from views with title blocks and viewports.","WRITE","Sheets / viewports","sheets:array; titleBlockName?:string","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/workflow_sheet_set.ts"
